publisher.publisher_name,publisher.place_of_publication,publication_type,country_of_publication,language,contributor.name,contributor.role,title,idno,idno.type,subject,publishing_work_items.value,publishing_work_items.type,publishing_work_items.unit,label
b'',b'',b'1',b'',b'ENG',"b'Walter, K N Montgomery, J Amess, P Rabe, H'",b'1 1 1 1',b'Hyponatraemia and brain oedema in newborns following oral water intoxication during prolonged labour',b'22441802 22441802',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'',"b'Walter, K. Montgomery, J. Amess, P. Rabe, H.'",b'1 1 1 1',b'Hyponatraemia and Brain Oedema in Newborns Following Oral Water Intoxication during Prolonged Labour http://www.thieme-connect.de/DOI/DOI?10.1055/s-0032-1306296',b'10.1055/S-0032-1306296',b'DOI',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Kan, F W K Forkert, P-G Wade, M G'",b'1 1 1',b'Trichloroethylene exposure elicits damage in epididymal epithelium and spermatozoa in mice',b'17523075 17523075',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'Histology and Histopathology',b'',b'1',b'',b'ENG',"b'Kan, Frederick W.K. Forkert, P.-G. Wade, M.G.'",b'1 1 1',b'Trichloroethylene exposure elicits damage in epididymal epithelium and spermatozoa in mice',b'',b'',b'Sperm Trichloroethylene Epididymis',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Li, Xin Chenglin Li, Xin Schimenti, John C'",b'1 1 1',b'Mouse pachytene checkpoint 2 (trip13) is required for completing meiotic recombination but not synapsis',b'10.1371/JOURNAL.PGEN.0030130 17696610 17696610',b'DOI PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'Public Library of Science (PLoS)',"b'San Francisco, CA USA'",b'1',b'',b'',"b'Li, Xin Schimenti, John C.'",b'1 1',b'Mouse Pachytene Checkpoint 2 (Trip13) Is Required for Completing Meiotic Recombination but Not Synapsis http://dx.plos.org/10.1371/journal.pgen.0030130 http://www.plosgenetics.org/article/fetchSingleRepresentation.action?uri=info:doi/10.1371/journal.pgen.0030130.sg001 http://www.plosgenetics.org/article/fetchSingleRepresentation.action?uri=info:doi/10.1371/journal.pgen.0030130.sg002 http://www.plosgenetics.org/article/fetchSingleRepresentation.action?uri=info:doi/10.1371/journal.pgen.0030130.sg003 http://www.plosgenetics.org/article/fetchSingleRepresentation.action?uri=info:doi/10.1371/journal.pgen.0030130.st001',b'10.1371/JOURNAL.PGEN.0030130.ST001 10.1371/JOURNAL.PGEN.0030130 10.1371/JOURNAL.PGEN.0030130.SG001 10.1371/JOURNAL.PGEN.0030130.SG002 10.1371/JOURNAL.PGEN.0030130.SG003',b'DOI DOI DOI DOI DOI',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Waltz, Emily'",b'1',"b'Biotech entrepreneur, educate thyself!'",b'16526101 16526101',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'Nature Publishing Group',"b'New York, NY USA'",b'1',b'',b'',"b'Waltz, Emily'",b'1',"b'Biotech entrepreneur, educate thyself! http://www.nature.com/doifinder/10.1038/bioent896'",b'10.1038/BIOENT896 BIOENT896',b'DOI PUBCAT',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Russell, Thomas R'",b'1',b'From my perspective',b'18551950 18551950',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Russell, Thomas R'",b'1',b'From my perspective',b'18557431 18557431',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Kan, F W K Forkert, P-G Wade, M G'",b'1 1 1',b'Trichloroethylene exposure elicits damage in epididymal epithelium and spermatozoa in mice',b'17523075 17523075',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Kan, F W K Forkert, P-G Wade, M G'",b'1 1 1',b'Trichloroethylene exposure elicits damage in epididymal epithelium and spermatozoa in mice',b'17523075 17523075',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Meyers, P M Schumacher, H C Alexander, M J Derdeyn, C P Furlan, A J Higashida, R T Moran, C J Tarr, R W Heck, D V Hirsch, J A Jensen, M E Linfante, I McDougall, C G Nesbit, G M Rasmussen, P A Tomsick, T A Wechsler, L R Wilson, J R Zaidat, O O'",b'1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1',b'Performance and training standards for endovascular ischemic stroke treatment',b'20075105 20075105',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Meyers, P M Schumacher, H C Alexander, M J Derdeyn, C P Furlan, A J Higashida, R T Moran, C J Tarr, R W Heck, D V Hirsch, J A Jensen, M E Linfante, I McDougall, C G Nesbit, G M Rasmussen, P A Tomsick, T A Wechsler, L R Wilson, J R Zaidat, O O'",b'1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1',b'Performance and training standards for endovascular ischemic stroke treatment',b'20075105 20075105',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Marchitti, Satori A Orlicky, David J Brocker, Chad Vasiliou, Vasilis'",b'1 1 1 1',b'Aldehyde dehydrogenase 3B1 (ALDH3B1): immunohistochemical tissue distribution and cellular-specific localization in normal and cancerous human tissues',b'10.1369/JHC.2009.955773 20729348 20729348',b'DOI PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Marchitti, Satori A Orlicky, David J Brocker, Chad Vasiliou, Vasilis'",b'1 1 1 1',b'Aldehyde dehydrogenase 3B1 (ALDH3B1): immunohistochemical tissue distribution and cellular-specific localization in normal and cancerous human tissues',b'10.1369/JHC.2009.955773 20729348 20729348',b'DOI PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'El-Jardali, Fadi Tchaghchagian, Victoria Jamal, Diana'",b'1 1 1',b'Assessment of human resources management practices in Lebanese hospitals',b'20614681 20614681',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'El-Jardali, Fadi Tchaghchagian, Victoria Jamal, Diana'",b'1 1 1',b'Assessment of human resources management practices in Lebanese hospitals',b'20614681 20614681',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'De Vries, Raymond Elliott, Carl'",b'1 1',b'Why disclosure?',b'10.1111/J.1525-1497.2006.00581.X 16918750 16918750',b'DOI PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'',"b'Vries, Raymond Elliott, Carl'",b'1 1',b'Why disclosure? http://www.springerlink.com/index/pdf/10.1007/BF02743153 http://link.springer.com/10.1007/BF02743153',b'10.1007/BF02743153 BF02743153',b'DOI PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Mayer, Anita P Blair, Janis E Files, Julia A'",b'1 1 1',b'Peer mentoring of women physicians',b'10.1111/J.1525-1497.2006.00577.X 16918753 16918753',b'DOI PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'',"b'Meyer, Anita P. Blair, Janis E. Flies, Julia A.'",b'1 1 1',b'Peer mentoring of women physicians http://link.springer.com/10.1007/BF02743155 http://www.springerlink.com/index/pdf/10.1007/BF02743155',b'10.1007/BF02743155 BF02743155',b'DOI PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Maza, M P de la Bravo, A Leiva, L Gatt\xc3\xa1s, V Petermann, M Garrido, F Bunout, D Hirsch, S Barrera, G Fern\xc3\xa1ndez, M'",b'1 1 1 1 1 1 1 1 1 1',b'Fluorescent serum and urinary advanced glycoxidation end-products in non- diabetic subjects',b'/S0716-97602007000200011 18064357 18064357',b'DOI PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'SciELO Comision Nacional de Investigacion Cientifica Y Tecnologica (CONICYT)',"b'Santiago, Chile'",b'1',b'',b'',"b'DE LA MAZA, MP BRAVO, A LEIVA, L GATT\xc3\x81S, V PETERMANN, M GARRIDO, F BUNOUT, D HIRSCH, S BARRERA, G FERN\xc3\x81NDEZ, M'",b'1 1 1 1 1 1 1 1 1 1',b'Fluorescent serum and urinary advanced glycoxidation end-products in non- diabetic subjects http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-97602007000200011&lng=en&nrm=iso&tlng=en',b'10.4067/S0716-97602007000200011 S0716-97602007000200011',b'DOI PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b""O'Neil, Bert H B\xc5\xafzkov\xc3\xa1, Petra Farrah, Hillary Kashatus, David Sanoff, Hanna Goldberg, Richard M Baldwin, Albert S Funkhouser, William K""",b'1 1 1 1 1 1 1 1',b'Expression of nuclear factor-kappaB family proteins in hepatocellular carcinomas',b'10.1159/111116 18025803 18025803',b'DOI PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'S. Karger AG',"b'Basel, Switzerland'",b'1',b'',b'',"b'O&rsquo;Neil, Bert H. B&uring;&zcaron;kov&aacute;, Petra Farrah, Hillary Kashatus, David Sanoff, Hanna Goldberg, Richard M. Baldwin, Albert S. Funkhouser, William K.'",b'1 1 1 1 1 1 1 1',b'Expression of Nuclear Factor-kappaB Family Proteins in Hepatocellular Carcinomas http://www.karger.com/doi/10.1159/000111116',b'10.1159/000111116',b'DOI',b'',b'',b'',b'',FORCE_MATCH
b'ACS American Chemical Society',b'',b'1',b'',b'',"b'Frederickson, J. K. Bolton, H. Brockman, F. J.'",b'1 1 1',b'In Situ and On-Site Bioreclamation',b'EN009124743',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'XXX',"b'Fredrickson, J.K. H. Jr., Bolton Brockman, F.J.'",b'1 1 1',b'In situ and on-site bioreclamation',b'471644',b'PII',b'',b'',b'',b'',FORCE_MATCH
b'ACS American Chemical Society',b'',b'1',b'',b'',"b'Hunt, M. O. Belu, A. M. Linton, R. W. DeSimone, J. M.'",b'1 1 1 1',b'End-Functionalized Polymers. 1. Synthesis and Characterization of Perfluoroalkyl-Terminated Polymers via Chorosilane Derivatives',b'EN009058151',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'XXX',"b'Hunt, M.O. Jr Belu, A.M. Linton, R.W. DeSimone, J.M.'",b'1 1 1 1',b'End-functionalized polymers. 1. Synthesis and characterization of perfluoroalkyl-terminated polymers via chorosilane derivatives',b'5846412',b'PII',b'',b'',b'',b'',FORCE_MATCH
b'Springer Verlag KG',b'',b'1',b'',b'',"b'Louie, S. G.'",b'1',b'Correlated Wavefunction Quantum Monte-Carlo Approach to Solids',b'EN009074727',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'XXX',"b'Louie, S.G.'",b'1',b'Correlated wavefunction quantum Monte Carlo approach to solids',b'7058160',b'PII',b'',b'',b'',b'',FORCE_MATCH
"b'Technical Association of Reflectories, Japan'",b'',b'1',b'',b'XXX',"b'Fujiwara, K. Kubo, Y. Yoshida, H. Tanioku, T.'",b'1 1 1 1',b'Development of Technology on Reduction of Brick Relining Time for BOF',b'RN204140933',b'BLID',b'',b'',b'',b'',FORCE_MATCH
"b'Technical Association of Reflectories, Japan'",b'',b'1',b'',b'XXX',"b'Kubo, Y. Yoshida, H. Fujiwara, K. Tanioku, T.'",b'1 1 1 1',b'Development of Technology on Reduction of Brick Relining Time for BOF',b'RN229353534',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Chouinard, Michael M'",b'1',"b""Children's questions: a mechanism for cognitive development""",b'10.1111/J.1540-5834.2007.00412.X 17394580 17394580',b'DOI PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'Blackwell Publishing Inc.',b'',b'1',b'',b'ENG',"b'Chouinard, Michelle M.'",b'1',"b""Children's questions: A mechanism for cognitive development""",b'10.1111/J.1540-5834.2007.00413.X',b'DOI',b'',b'',b'',b'',FORCE_MATCH
b'American Institute of Physics',b'',b'1',b'',b'',"b'Berlemont, P. Skinner, D. A. Bacal, M.'",b'1 1 1',b'Negative ion volume production model: State of the experimental confirmation',b'EN010532188',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'XXX',"b'Berlemont, P. Skinner, D.A. Bacal, M.'",b'1 1 1',b'Negative ion volume production model: State of the experimental confirmation',b'6935074',b'PII',b'',b'',b'',b'',FORCE_MATCH
b'Society Automative Engineers INC',b'',b'1',b'',b'',"b'Powell, M. A. Rawlinson, K. S.'",b'1 1',b'Performance Mapping of the STM4-120 Kinematic Stirling Engine Using a Statistical Design of Experiments Method',b'EN010609446',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'XXX',"b'Powell, M.A. Rawlinson, K.S.'",b'1 1',b'Performance mapping of the STM4-120 kinematic Stirling engine using a statistical design of experiments method',b'10162592',b'PII',b'',b'',b'',b'',FORCE_MATCH
b'Society Automative Engineers INC',b'',b'1',b'',b'',"b'Stine, W. B. Powell, M. A.'",b'1 1',b'Proposed Guidelines for Reporting Performance of a Solar Dish/Stirling Electric Generation System',b'EN010609240',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'XXX',"b'Stine, W.B. Powell, M.A.'",b'1 1',b'Proposed guidelines for reporting performance of a solar dish/Stirling electric generation system',b'10167079',b'PII',b'',b'',b'',b'',FORCE_MATCH
b'Iron and Steel Society of Aime',b'',b'1',b'',b'',"b'Dudek, F. J. Daniels, E. J. Morgan, W. A. Kellner, A. W.'",b'1 1 1 1',b'A Recycling Process for Dezincing Steel Scrap',b'EN010504399',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'XXX',"b'Dudek, F.J. Daniels, E.J. Morgan, W.A. Kellner, A.W. Harrison, J.'",b'1 1 1 1 1',b'A recycling process for dezincing steel scrap',b'5015503',b'PII',b'',b'',b'',b'',FORCE_MATCH
b'American Society for Microbiology',b'',b'1',b'',b'ENG',"b'Van Doorn, J. Ojanen-Reuhs, T. Hollinger, T. C. Reuhs, B. L. Schots, A. Boonekamp, P. M. Oudega, B.'",b'1 1 1 1 1 1 1',b'Development and Application of Pathovar-Specific Monoclonal Antibodies That Recognize the Lipopolysaccharide O Antigen and the Type IV Fimbriae of Xanthomonas hyacinthi',b'RN066781446',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'XXX',"b'Doorn, J. van Ojanen-Reuhs, T. Hollinger, T.C. Reuhs, B.L. Schots, A. Boonekamp, P.M. Oudega, B.'",b'1 1 1 1 1 1 1',b'Development and application of pathovar-specific monoclonal antibodies that recognize the lipopolysaccharide O antigen and the type IV fimbriae of Xanthomonas hyacinthi',b'20000242',b'PII',b'',b'',b'',b'',FORCE_MATCH
b'Philip Allan Publishers',b'',b'1',b'',b'ENG',"b'Redding, S.'",b'1',b'Globalisation',b'RN066724396',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'',b'',b'',b'GLOBALISATION',b'332377',b'PII',b'',b'',b'',b'',FORCE_MATCH
b'IEEE',b'',b'1',b'',b'ENG',"b'Mayer, M. Paul, O. Bolliger, D. Baltes, H.'",b'1 1 1 1',b'Integrated Temperature Microsensors for Characterization and Optimization of Thermosonic Ball Bonding Process',b'RN065868258',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'Institute of Electrical & Electronics Engineers (IEEE)',"b'Piscataway, NJ USA'",b'1',b'',b'',"b'Mayer, M. Paul, O. Bolliger, D. Baltes, H.'",b'1 1 1 1',b'Integrated temperature microsensors for characterization and optimization of thermosonic ball bonding process http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=846780',b'10.1109/6144.846780',b'DOI',b'',b'',b'',b'',FORCE_MATCH
b'IEEE',b'',b'1',b'',b'ENG',"b'Sunaga, Y. Takahashi, R. Tokoro, T. Kobayashi, M.'",b'1 1 1 1',b'2 Gbit/s Small Form Factor Fiber-Optic Transceiver for Single Mode Optical Fiber',b'RN065868416',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'Institute of Electrical & Electronics Engineers (IEEE)',"b'Piscataway, NJ USA'",b'1',b'',b'',"b'Sunaga, Y. Takahashi, R. Tokoro, T. Kobayashi, M.'",b'1 1 1 1',b'2 Gbit/s small form factor fiber-optic transceiver for single mode optical fiber http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=846630',b'10.1109/6040.846630',b'DOI',b'',b'',b'',b'',FORCE_MATCH
b'IEEE',b'',b'1',b'',b'ENG',"b'Caggiano, M. F. DelGiudice, B.'",b'1 1',b'Modeling the Power and Ground Effects of BGA Packages',b'RN065869305',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'Institute of Electrical & Electronics Engineers (IEEE)',"b'Piscataway, NJ USA'",b'1',b'',b'',"b'Caggiano, M.F. DelGuidice, B. Tornquist, K.J.'",b'1 1 1',b'Modeling the power and ground effects of BGA packages http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=846626',b'10.1109/6040.846626',b'DOI',b'',b'',b'',b'',FORCE_MATCH
b'Institute of Electrical Engineers Inc (Ieee)',b'',b'1',b'',b'ENG',"b'Ikuta, K. Takeichi, M. Namiki, T.'",b'1 1 1',b'Virtual Endoscope System with Force Sensation',b'RN065895584',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'',"b'Ikuta, Koji Takeichi, Masaki Namiki, Takao'",b'1 1 1',b'Virtual Endoscope System with Force Sensation. \xe5\x8a\x9b\xe8\xa6\x9a\xe4\xbb\x98\xe3\x83\x90\xe3\x83\xbc\xe3\x83\x81\xe3\x83\xa3\xe3\x83\xab\xe5\x86\x85\xe8\xa6\x96\xe9\x8f\xa1\xe3\x82\xb7\xe3\x82\xb9\xe3\x83\x86\xe3\x83\xa0 http://joi.jlc.jst.go.jp/JST.Journalarchive/jrsj1983/18.366?from=CrossRef',b'10.7210/JRSJ.18.366',b'DOI',b'',b'',b'',b'',FORCE_MATCH
b'IEEE',b'',b'1',b'',b'ENG',"b'Fine, P. Cobb, B. Nguyen, L.'",b'1 1 1',b'Flip-Chip Underfill Flow Characteristics and Prediction',b'RN065868787',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'Institute of Electrical & Electronics Engineers (IEEE)',"b'Piscataway, NJ USA'",b'1',b'',b'',"b'Fine, P. Cobb, B. Nguyen, L.'",b'1 1 1',b'Flip chip underfill flow characteristics and prediction http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=868839',b'10.1109/6144.868839',b'DOI',b'',b'',b'',b'',FORCE_MATCH
b'Springer-Verlag',b'',b'1',b'',b'ENG',"b'Kirtley, J. R. Moler, K. A. Schlueter, J. A. Williams, J. M. Hinks, D. G. Li, T. W. Villard, G. Maignan, A.'",b'1 1 1 1 1 1 1 1',b'Magnetic Imaging of Interlayer Josephson Vortices',b'RN065851039',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'XXX',"b'Kirtley, J. A.'",b'1',b'Magnetic imaging of interlayer Josephson vortices.',b'10913',b'PII',b'',b'',b'',b'',FORCE_MATCH
b'IEEE',b'',b'1',b'',b'ENG',"b'Shook, R. L. Goodelle, J. P.'",b'1 1',b'Handling of Highly-Moisture Sensitive Components - An Analysis of Low-Humidity Containment and Baking Schedules',b'RN065868817',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'Institute of Electrical & Electronics Engineers (IEEE)',"b'Piscataway, NJ USA'",b'1',b'',b'',"b'Shook, R.L. Goodelle, J.P.'",b'1 1',b'Handling of highly-moisture sensitive components-an analysis of low-humidity containment and baking schedules http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=846930',b'10.1109/6104.846930',b'DOI',b'',b'',b'',b'',FORCE_MATCH
b'IEEE',b'',b'1',b'',b'ENG',"b'Koshoubu, N. Ishizawa, S. Tsunetsugu, H. Takahara, H.'",b'1 1 1 1',b'Advanced Flip-Chip Bonding Techniques Using Transferred Microsolder Bumps',b'RN065867930',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'Institute of Electrical & Electronics Engineers (IEEE)',"b'Piscataway, NJ USA'",b'1',b'',b'',"b'Koshoubu, N. Ishizawa, S. Tsunetsugu, H. Takahara, H.'",b'1 1 1 1',b'Advanced flip chip bonding techniques using transferred microsolder bumps http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=846781',b'10.1109/6144.846781',b'DOI',b'',b'',b'',b'',FORCE_MATCH
b'IEEE',b'',b'1',b'',b'ENG',"b'Trewhella, J. M. DeCusatis, C. Fox, J.'",b'1 1 1',b'Performance Comparison of Small Form Factor Fiber Optic Connectors',b'RN065868143',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'Institute of Electrical & Electronics Engineers (IEEE)',"b'Piscataway, NJ USA'",b'1',b'',b'',"b'Trewhella, J.M. DeCusatis, C.M. Fox, J.'",b'1 1 1',b'Performance comparison of small form factor fiber optic connectors http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=846632',b'10.1109/6040.846632',b'DOI',b'',b'',b'',b'',FORCE_MATCH
b'IEEE',b'',b'1',b'',b'ENG',"b'Lau, J. H. Lee, S.-W. R. Chang, C. Ouyang, C.'",b'1 1 1 1',b'Effects of Underfill Material Properties on the Reliability of Solder Bumped Flip-Chip on Board with Imperfect Underfill Encapsulants',b'RN065868453',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'Institute of Electrical & Electronics Engineers (IEEE)',"b'Piscataway, NJ USA'",b'1',b'',b'',"b'Lau, J.H. Lee, S.-W.R. Chang, C.'",b'1 1 1',b'Effects of underfill material properties on the reliability of solder bumped flip chip on board with imperfect underfill encapsulants http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=846771',b'10.1109/6144.846771',b'DOI',b'',b'',b'',b'',FORCE_MATCH
b'Churchill Livingstone',b'',b'1',b'',b'ENG',"b'McGregor, J. C.'",b'1',b'Trilucent breast implants - a personal review of the current controversies (May 1999)',b'RN066810471',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'Elsevier',b'',b'1',b'',b'ENG',"b'McGregor, John C.'",b'1',b'Trilucent breast implants - a personal review of the current controversies (May 1999)',b'10.1054/BJPS.1999.3189 S0007-1226(99)93189-2',b'DOI PII',b'',b'',b'',b'',FORCE_MATCH
b'Elsevier',b'',b'1',b'',b'ENG',"b'Umemoto, T. Ishihara, S.'",b'1 1',b'Effective methods for preparing S-(trifluoromethyl)dibenzothiophenium salts',b'RN066823180',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'Elsevier',b'',b'1',b'',b'ENG',"b'Umemoto, Teruo Ishihara, Sumi'",b'1 1',b'Effective methods for preparing S-(trifluoromethyl)dibenzothiophenium salts',b'S0022-1139(99)00087-1',b'PII',b'',b'',b'',b'',FORCE_MATCH
b'Elsevier',b'',b'1',b'',b'ENG',"b'Umemoto, T. Ishihara, S.'",b'1 1',b'Effective methods for preparing S-(trifluoromethyl)dibenzothiophenium salts',b'RN066823192',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'Elsevier',b'',b'1',b'',b'ENG',"b'Umemoto, Teruo Ishihara, Sumi'",b'1 1',b'Effective methods for preparing S-(trifluoromethyl)dibenzothiophenium salts',b'S0022-1139(99)00087-1',b'PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Jones, Amy V Cross, Nicholas C P'",b'1 1',"b""No association between myeloproliferative neoplasms and the Crohn's disease-associated STAT3 predisposition SNP rs744166""",b'10.3324/HAEMATOL.2010.023390 20595103 20595103',b'DOI PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Jones, Amy V Cross, Nicholas C P'",b'1 1',"b""No association between myeloproliferative neoplasms and the Crohn's disease-associated STAT3 predisposition SNP rs744166""",b'10.3324/HAEMATOL.2010.023390 20595103 20595103',b'DOI PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Chen, Liangyou Reisner, Andrew T Gribok, Andrei Reifman, Jaques'",b'1 1 1 1',b'Exploration of prehospital vital sign trends for the prediction of trauma outcomes',b'21140982 21140982',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Chen, Liangyou Reisner, Andrew T Gribok, Andrei Reifman, Jaques'",b'1 1 1 1',b'Exploration of prehospital vital sign trends for the prediction of trauma outcomes',b'21140982 21140982',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Burgut, Husyin R Bener, Abdulbari Sidahmed, Heba Albuz, Rama Sanya, Rahima Khan, Waleed Ali'",b'1 1 1 1 1 1',b'Risk factors contributing to road traffic crashes in a fast-developing country: the neglected health problem',b'21153940 21153940',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Burgut, Husyin R Bener, Abdulbari Sidahmed, Heba Albuz, Rama Sanya, Rahima Khan, Waleed Ali'",b'1 1 1 1 1 1',b'Risk factors contributing to road traffic crashes in a fast-developing country: the neglected health problem',b'21153940 21153940',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Roberts, William C'",b'1',b'Facts and ideas from anywhere',b'21240312 21240312',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Roberts, William C'",b'1',b'Facts and ideas from anywhere',b'21240312 21240312',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Abdelrahim, Maen Konduri, Santhi Basha, Riyaz Philip, Philip A Baker, Cheryl H'",b'1 1 1 1 1',b'Angiogenesis: an update and potential drug approaches (review)',b'19956828 19956828',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Abdelrahim, Maen Konduri, Santhi Basha, Riyaz Philip, Philip A Baker, Cheryl H'",b'1 1 1 1 1',b'Angiogenesis: an update and potential drug approaches (review)',b'19956828 19956828',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Heckman, Carolyn J Manne, Sharon L Kloss, Jacqueline D Bass, Sarah Bauerle Collins, Bradley Lessin, Stuart R'",b'1 1 1 1 1 1',b'Beliefs and intentions for skin protection and UV exposure in young adults',b'22251761 22251761',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'',"b'Heckman, Carolyn'",b'1',b'Beliefs and Intentions for Skin Protection and UV Exposure in Young Adults http://www.ingentaconnect.com/content/png/ajhb/2011/00000035/00000006/art000006',b'10.5993/AJHB.35.6.6',b'DOI',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Takai, Noriyuki Ueda, Tami Nishida, Masakazu Nasu, Kaei Narahara, Hisashi'",b'1 1 1 1 1',b'PK11195 enhances chemosensitivity to cisplatin and paclitaxel in human endometrial and ovarian cancer cells',b'19956907 19956907',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
